
ISO3166-2 regions for BD

   BD-05 : Bagerhat zila
   BD-01 : Bandarban zila
   BD-02 : Barguna zila
   BD-06 : Barisal zila
   BD-07 : Bhola zila
   BD-03 : Bogra zila
   BD-04 : Brahmanbaria zila
   BD-09 : Chandpur zila
   BD-10 : Chittagong zila
   BD-12 : Chuadanga zila
   BD-08 : Comilla zila
   BD-11 : Cox's Bazar zila
   BD-13 : Dhaka zila
   BD-14 : Dinajpur zila
   BD-15 : Faridpur zila
   BD-16 : Feni zila
   BD-19 : Gaibandha zila
   BD-18 : Gazipur zila
   BD-17 : Gopalganj zila
   BD-20 : Habiganj zila
   BD-24 : Jaipurhat zila
   BD-21 : Jamalpur zila
   BD-22 : Jessore zila
   BD-25 : Jhalakati zila
   BD-23 : Jhenaidah zila
   BD-29 : Khagrachari zila
   BD-27 : Khulna zila
   BD-26 : Kishorganj zila
   BD-28 : Kurigram zila
   BD-30 : Kushtia zila
   BD-31 : Lakshmipur zila
   BD-32 : Lalmonirhat zila
   BD-36 : Madaripur zila
   BD-37 : Magura zila
   BD-33 : Manikganj zila
   BD-39 : Meherpur zila
   BD-38 : Moulvibazar zila
   BD-35 : Munshiganj zila
   BD-34 : Mymensingh zila
   BD-48 : Naogaon zila
   BD-43 : Narail zila
   BD-40 : Narayanganj zila
   BD-42 : Narsingdi zila
   BD-44 : Natore zila
   BD-45 : Nawabganj zila
   BD-41 : Netrakona zila
   BD-46 : Nilphamari zila
   BD-47 : Noakhali zila
   BD-49 : Pabna zila
   BD-52 : Panchagarh zila
   BD-51 : Patuakhali zila
   BD-50 : Pirojpur zila
   BD-53 : Rajbari zila
   BD-54 : Rajshahi zila
   BD-56 : Rangamati zila
   BD-55 : Rangpur zila
   BD-58 : Satkhira zila
   BD-62 : Shariatpur zila
   BD-57 : Sherpur zila
   BD-59 : SirajOanj zila
   BD-61 : SunamOanj zila
   BD-60 : Sylhet zila
   BD-63 : Tangail zila
   BD-64 : Thakurgaon zila
